AÑO,ARTICULO,GRAMOS_PERSONA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ZONA
2020,Pan Francés                                       ,49,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,Urbana
2020,Tortillas                                         ,223,0.2,0.2,0.2,0.19,0.19,0.21,0.19,0.19,0.19,0.18,0.2,0.19,Urbana
2020,Arroz                                             ,55,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,Urbana
2020,Carnes 1_ /                                       ,60,0.45,0.45,0.44,0.45,0.44,0.44,0.44,0.45,0.44,0.44,0.44,0.44,Urbana
2020,Grasas 2 _ /                                      ,33,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,Urbana
2020,Huevos                                            ,28,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,Urbana
2020,Leche Fluida *                                    ,106,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,Urbana
2020,Frutas 3_ /                                       ,157,0.13,0.13,0.12,0.13,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,Urbana
2020,Frijoles                                          ,79,0.15,0.14,0.15,0.15,0.16,0.18,0.19,0.17,0.16,0.16,0.16,0.15,Urbana
2020,Verduras 4_ /                                     ,127,0.19,0.18,0.19,0.2,0.22,0.23,0.22,0.19,0.18,0.18,0.19,0.18,Urbana
2020,Azúcar                                            ,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,Urbana
2020,Costo diario por persona                          ,0,16300.0,16200.0,16200.0,16400.0,17000.0,17200.0,17000.0,16600.0,16300.0,16100.0,16300.0,16100.0,Urbana
2020,más 10% (cocción)                                 ,0,17900.0,17800.0,17800.0,18000.0,18800.0,18900.0,18700.0,18200.0,17900.0,17700.0,17900.0,17700.0,Urbana
2020,Costo diario por familia de 3.73 miembros         ,0,66800.0,66400.0,66300.0,67100.0,69900.0,70500.0,69800.0,67900.0,66900.0,65900.0,66800.0,66000.0,Urbana
2020,Costo mensual por familia**                       ,0,2004100.0,1992400.0,1989000.0,2012600.0,2098300.0,2114400.0,2093300.0,2037200.0,2006500.0,1976900.0,2005400.0,1981400.0,Urbana
2021,,,,,,,,,,,,,,,Urbana
2021,Pan Francés                                       ,49,0.12,0.13,0.13,0.11,0.12,0.13,0.13,0.14,0.14,0.14,0.15,0.15,Urbana
2021,Tortillas                                         ,223,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.21,0.21,0.2,Urbana
2021,Arroz                                             ,55,0.07,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.07,0.08,0.08,0.08,Urbana
2021,Carnes 1_ /                                       ,60,0.45,0.45,0.45,0.46,0.46,0.45,0.46,0.46,0.46,0.47,0.46,0.46,Urbana
2021,Grasas 2 _ /                                      ,33,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,Urbana
2021,Huevos                                            ,28,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,Urbana
2021,Leche Fluida *                                    ,106,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,Urbana
2021,Frutas 3_ /                                       ,157,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,Urbana
2021,Frijoles                                          ,79,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,Urbana
2021,Verduras 4_ /                                     ,127,0.17,0.17,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.21,0.21,0.19,Urbana
2021,Azúcar                                            ,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,Urbana
2021,Costo diario por persona                          ,0,16200.0,16300.0,16400.0,16300.0,16300.0,16600.0,16500.0,16600.0,16700.0,17300.0,17400.0,17200.0,Urbana
2021,más 10% (cocción)                                 ,0,17800.0,17900.0,18000.0,17900.0,18000.0,18200.0,18100.0,18300.0,18400.0,19000.0,19100.0,18900.0,Urbana
